pillar	namespace	stage	covered_by
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-net-absent.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/permits-tool-not-listed.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/secrets-launder-concat.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/secrets-leak-exec-sink.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/secrets-leak-infer-prompt.nika.yaml
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/secrets-two-sinks-one-sanctioned.nika.yaml
errors	NIKA-BUILTIN	recovered	conformance/errors/foreach-recover-null-alignment.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/on-error-on-codes-matched.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/on-error-recover-downstream.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/on-error-recover-literal.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/on-error-skip-status.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/recover-task-ref-with-edge.nika.yaml
errors	NIKA-EXEC	recovered	conformance/errors/retry-exhausted-then-recover.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/on-error-fail-workflow.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/on-error-on-codes-unmatched.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/on-finally-both-paths.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/retry-non-transient-single-attempt.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/retry-on-codes-forces.nika.yaml
errors	NIKA-EXEC	run-fail	conformance/errors/retry-on-codes-unmatched.nika.yaml
errors	NIKA-TIMEOUT	recovered	conformance/errors/timeout-recovered.nika.yaml
errors	NIKA-TIMEOUT	run-fail	conformance/errors/timeout-never-retryable.nika.yaml
errors	NIKA-VAR	DIVERGENT	conformance/errors/recover-task-ref-no-edge.nika.yaml
errors	NIKA-VAR	recovered	conformance/errors/error-field-canonical-code.nika.yaml
variables	(positive)	positive-run	conformance/variables/null-membership-compare.nika.yaml
variables	(positive)	positive-run	conformance/variables/number-continuum.nika.yaml
variables	(positive)	positive-run	conformance/variables/typed-vars-declarations.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/arithmetic-rejected.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/jq-expression-static-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/missing-task-ref-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/static-type-error-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/unclosed-island-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/unknown-function-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/unresolved-ref-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/when-bare-ref-reject.nika.yaml
variables	NIKA-VAR	check-reject	conformance/variables/when-string-literal-reject.nika.yaml
variables	NIKA-VAR	either	conformance/variables/cross-type-compare-error.nika.yaml
variables	NIKA-VAR	either	conformance/variables/foreach-non-array-either.nika.yaml
variables	NIKA-VAR	either	conformance/variables/string-method-type-mismatch.nika.yaml
variables	NIKA-VAR	run-fail	conformance/variables/binding-bad-syntax-error.nika.yaml
variables	NIKA-VAR	run-fail	conformance/variables/binding-stream-error.nika.yaml
variables	NIKA-VAR	run-fail	conformance/variables/foreach-non-array-run.nika.yaml
variables	NIKA-VAR	run-fail	conformance/variables/typed-outputs-mismatch.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/agent-injection-contained.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/agent-pure-conversation.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/builtin-assert-positive.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/builtin-extract-inline.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/builtin-json-diff.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/builtin-validate-errors-array.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/builtin-validate-positive.nika.yaml
verbs	(positive)	positive-run	conformance/verbs/exec-capture-convert-chain.nika.yaml
verbs	NIKA-BUILTIN	run-fail	conformance/verbs/builtin-assert-fail.nika.yaml
verbs	NIKA-BUILTIN	run-fail	conformance/verbs/builtin-jq-runtime-error.nika.yaml
verbs	NIKA-BUILTIN	run-fail	conformance/verbs/builtin-validate-bad-schema.nika.yaml
verbs	NIKA-BUILTIN	run-fail	conformance/verbs/builtin-write-runtime-gap.nika.yaml
verbs	NIKA-EXEC	run-fail	conformance/verbs/exec-nonzero-exit.nika.yaml
verbs	NIKA-EXEC	run-fail	conformance/verbs/exec-spawn-fail.nika.yaml
verbs	NIKA-SEC-gate	check-reject	conformance/verbs/invoke-unknown-tool-reject.nika.yaml
verbs	NIKA-TIMEOUT	run-fail	conformance/verbs/timeout-basic.nika.yaml
verbs	NIKA-TIMEOUT	run-fail	conformance/verbs/timeout-per-iteration.nika.yaml
verbs	NIKA-INFER	check-reject	EMPTY (no mock infer-namespace check reject; infer statics covered via PARSE-014/SEC-secrets)
verbs	NIKA-INFER	run-fail	EMPTY (no mock NIKA-INFER-001/002 exemplar in lab)
verbs	NIKA-INFER	recovered	EMPTY
verbs	NIKA-INFER	positive-run	covered under envelope pillar (envelope/secrets-infer-egress-sanctioned.nika.yaml — run-level mock infer, upgraded 2026-07-08)
verbs	NIKA-AGENT	run-fail	EMPTY (cr29-agent-budget-exhausted NIKA-AGENT-001 is gemini-locked; needs mock port)
verbs	NIKA-AGENT	recovered	EMPTY
verbs	NIKA-INVOKE	run-fail	EMPTY (runtime invoke failures surface as NIKA-BUILTIN-*; mcp: tool path has no offline exemplar)
verbs	NIKA-INVOKE	check-reject	covered as gate verdict (verbs/invoke-unknown-tool-reject.nika.yaml — spec-05 INVOKE-001 code not surfaced by reference check; FINDINGS.md F-1)
verbs	NIKA-BUILTIN	recovered	covered under errors pillar (errors/foreach-recover-null-alignment.nika.yaml)
verbs	NIKA-TIMEOUT	recovered	covered under errors pillar (errors/timeout-recovered.nika.yaml)
verbs	(positive)	exec-structured-capture	EMPTY (etl/23 machine-dependent; needs self-contained rewrite)
verbs	(positive)	builtin-read-glob-grep-hash	EMPTY (cr04/cr17/cr18/etl-08 fixture-dependent; need in-corpus fixtures)
dag	NIKA-DAG	run-fail	N/A-BY-DESIGN (DAG errors are static)
envelope	NIKA-PARSE	run-fail	N/A-BY-DESIGN (parse errors are check-stage)
envelope	NIKA-PARSE-010	check-reject	EMPTY (e31 bad-timeout-value dropped for budget; v0.2)
envelope	NIKA-SEC	recovered	EMPTY (whether SEC blocks are on_error-recoverable is an open spec question)
envelope	NIKA-SEC	ssrf-by-name	EMPTY (sec02 localhost-name excluded: DNS-resolution-dependent)
envelope	NIKA-SEC	secrets-fetch-sink	EMPTY (sec27 dropped for budget; v0.2)
errors	NIKA-BUILTIN-ASSERT	recovered	EMPTY (w06 dropped for budget; BUILTIN-recovered covered via JQ)
variables	NIKA-VAR	recovered	partial (errors/error-field-canonical-code.nika.yaml recovers a VAR-006 args error)
variables	NIKA-VAR	index-out-of-range	EMPTY (c12/c14 fire VAR-001 "unresolved reference"; spec code ambiguous — FINDINGS.md F-2; v0.2 after spec call)
envelope	NIKA-SEC-gate	check-reject	conformance/envelope/secrets-leak-outputs-boundary.nika.yaml
envelope	(positive)	positive-run	conformance/envelope/secrets-outputs-egress-sanctioned.nika.yaml
envelope	NIKA-SEC-009	check-fail	conformance/envelope/trifecta-realized-flow-ungated.nika.yaml
envelope	(positive)	positive-check	conformance/envelope/trifecta-human-gate-dominates.nika.yaml
composition	NIKA-COMP-003	check-fail	conformance/composition/self-launch-cycle.nika.yaml
composition	(positive)	positive-run	conformance/composition/parent-child-acyclic.nika.yaml
authority	NIKA-AUTH-011	check-reject	conformance/tests/core/authority/028-lift-that-lifts-nothing-refused
authority	NIKA-AUTH-011	check-reject	conformance/tests/core/authority/029-lift-data-as-code-on-inert-refused
authority	NIKA-AUTH-006	check-reject	conformance/tests/core/authority/030-skill-read-under-absent-permits-refused
authority	(positive)	positive-check	conformance/tests/core/authority/011-declassify-declared-opens-the-door
authority	(positive)	positive-check	conformance/tests/core/authority/021-inert-door-declared-passes
envelope	NIKA-PARSE-026	check-reject	conformance/tests/core/envelope/026-run-ambient-virtual-refused
envelope	NIKA-PARSE-027	check-reject	conformance/tests/core/envelope/027-run-none-system-refused
envelope	NIKA-PARSE-027	check-reject	conformance/tests/core/envelope/031-run-seeded-system-refused
envelope	NIKA-PARSE-028	check-reject	conformance/tests/core/envelope/028-run-none-live-jitter-refused
envelope	(positive)	positive-check	conformance/tests/core/envelope/025-run-ambient-system-passes
envelope	(positive)	positive-check	conformance/tests/core/envelope/029-run-clock-virtual-alone-passes
envelope	(positive)	positive-check	conformance/tests/core/envelope/030-run-none-virtual-passes
envelope	(positive)	positive-check	conformance/tests/core/envelope/032-run-none-dead-jitter-passes
verbs	NIKA-AGENT-003	check-reject	conformance/tests/core/verbs-shape/023-agent-skill-missing-refused
verbs	NIKA-AGENT-003	check-reject	conformance/tests/core/verbs-shape/026-agent-skill-templated-path-refused
verbs	NIKA-SEC-004	check-reject	conformance/tests/deep/029-skill-outside-fs-read-boundary-refused
verbs	NIKA-AGENT-004	check-reject	conformance/tests/core/verbs-shape/024-agent-skill-invalid-refused
verbs	(positive)	positive-check	conformance/tests/core/verbs-shape/025-agent-skill-valid-passes
verbs	NIKA-1800	admission-refuse	conformance/tests/runtime/access-harness/001-unattested-agent-seat-refuses-infer
verbs	(positive)	admission-accept	conformance/tests/runtime/access-harness/002-infer-grade-seat-admits-infer
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/009-content-null-refused
verbs	(positive)	positive-check	conformance/tests/stdlib/hash/010-empty-content-valid
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/011-content-missing-refused
verbs	(positive)	positive-check	conformance/tests/stdlib/hash/012-defaults-absent-valid
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/013-algo-null-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/014-algo-non-string-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/015-encoding-null-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/016-encoding-non-string-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/017-invalid-encoding-refused
verbs	(positive)	positive-check	conformance/tests/stdlib/hash/018-structured-content-valid
verbs	(positive)	positive-check	conformance/tests/stdlib/hash/019-templated-algo-valid
verbs	(positive)	positive-check	conformance/tests/stdlib/hash/020-templated-encoding-valid
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/021-invalid-algo-with-templated-encoding-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/stdlib/hash/022-templated-algo-with-invalid-encoding-refused
verbs	NIKA-BUILTIN	check-reject	conformance/tests/deep/030-decide-without-evidence
verbs	NIKA-BUILTIN	check-reject	conformance/tests/deep/031-decide-without-bundle
verbs	NIKA-BUILTIN	check-reject	conformance/tests/deep/032-decide-without-args
verbs	(positive)	positive-check	conformance/tests/deep/033-decide-inline-pair
verbs	NIKA-AGENT-001	run-fail	conformance/tests/runtime/agent/004-text-with-done-exhausts-turns
verbs	(positive)	positive-run	conformance/tests/runtime/agent/005-text-without-done-completes
verbs	NIKA-AGENT-002	run-fail	conformance/tests/runtime/agent/006-text-with-done-exhausts-tokens
variables	(input-origin)	journal-prologue	conformance/tests/runtime/trace/007-boot-manifest-and-known-pin
variables	(input-origin)	journal-prologue	conformance/tests/runtime/trace/010-api-input-origins
